Description,Category,Categories
p1481 viewsformer znbc radio radio 4 dj innocent kabwe popularly knowns velvet voice ha died kabwe also fall fm director died evening kitwe according source close family wa one prominent voice radio 4 late 90 editorial team 8230p pthe post hrefhttpszambianeyecomformerznbcdjinnocentkabwediesformer znbc dj innocent kabwe diesa first appeared hrefhttpszambianeyecomzambian eyeap,sports,uncategorized
p2865 viewslusaka monday 2nd may 2022 local government service commission chairperson ackson sejani ha fired town clerk according pf facebook page sejani ha appointed person run council lusaka city council run mukammambo mbaimbai kitwe lgc appointed patrick kambita kambita young 8230p pthe post hrefhttpszambianeyecomacksonsejanifiresalltownclerksackson sejani fire town clerksa first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, local news"
p1507 viewspopular pf cadre richard chileshe commonly known chile 1 ha killed wife report asa manda chileshe political cycle also known commander wa killed early hour today wife shot two source tell zambian eye misunderstanding 8230p pthe post hrefhttpszambianeyecomwifeshotsdeadchile1wife shot dead chile 1a first appeared hrefhttpszambianeyecomzambian eyeap,politics,uncategorized
p1303 viewschishimba kambwili say president hakainde hichilema consult rwandan counterpart paul kagame wa twoday visit zambia government ha chosen subsidise price fuel “around luanshya day kitwe people saying way people complaining good 8230p pthe post hrefhttpszambianeyecomlookformoneykambwilitellsgovtlook money – kambwili tell govta first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p1147 view mine worker union zambia muz ha lamented foreigner benefitting country8217s natural resource expense zambian muz president joseph chewe say zambian toil le compared citizen made remark consultative meeting held kitwe today chewe urged government make 8230p pthe post hrefhttpszambianeyecomforeignersbenefitingmorefromzambiasresoucesatexpenseofcitizensmuzforeigners benefiting zambia’s resouces expense citizen muza first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, career"
p1303 view two accident recently took place mopani mine within 48 hour wake call need enhance occupational health safety labour expert ha said latest incident involved 35 year old anderson mwaba reported accidentally fallen roof sustained 8230p pthe post hrefhttpszambianeyecommopanimineaccidentswakeupcallinmaintenanceofoshmopani mine accident wake call maintenance osha first appeared hrefhttpszambianeyecomzambian eyeap,health,health and wellness
p928 viewsgreen party leader peter sinkamba concerned manner state handling case involving kwacha member parliament joseph malanji regarding hotel kitwe helicopter sinkamba particularly concerned issue two helicopter law enforcement agency recently announced making 8230p pthe post hrefhttpszambianeyecomsinkambaconcernedwiththemannerthestateishandlingmalanjishotelandhelicopterscasesinkamba concerned manner state handling malanji’s hotel helicopter casea first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p1827 view anticorruption commission acc ha arrested 52yearold chingola woman possession k88000000 reasonably suspected proceeds crime according statement issued acc spokesperson queen chibwe sylvia chongo mutale banda house number 11 gandhi road chingola allegedly received k88000000 first national bank domiciled 8230p pthe post hrefhttpszambianeyecomwoman52arrestedforreceivingk88000000intoherbankaccountwoman 52 arrested ‘receiving’ k88000000 bank accounta first appeared hrefhttpszambianeyecomzambian eyeap,technology,development
p1819 viewsthe anticorruption commission ha arrested chingola woman possession k880 00000 reasonably suspected proceeds crime antcorruption commission spokesperson queen kashimbo chibwe sayssylvia chongo mutale banda aged 52 house number 11 gandhi road chingola ha arrested charged one count possession property 8230p pthe post hrefhttpszambianeyecomaccarrestschingolawomanforcorruptionacc arrest chingola woman corruptiona first appeared hrefhttpszambianeyecomzambian eyeap,technology,development
p3327 view drug enforcement commission dec antimoney laundering investigation unit ha seized hotel two helicopter belonging kwacha member parliament joseph malanji commission ha since arrested malanji alleged money laundering activity involving k10 million ud 700000 dec public relation officer mathias kamanga ha told mwebantu 8230p pthe post hrefhttpszambianeyecomdecseizetwohelicoptersandahotelbelongingtokwachamemberofparliamentjosephmalanjidec seize two helicopter hotel belonging kwacha member parliament joseph malanjia first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, narcotics"
p2762 viewsadapted friday ballad ballad mutale zulupublished saturday 19th march 2022 friday 18th march 2022 zambia put rest fourth republican president rupiah bwezani banda country wa period mourning lost one talented dedicated teacher journalist broadcaster devout catholic musician 8230p pthe post hrefhttpszambianeyecomswithinhaangalasothersideasmusicianswithin haangala’s side musiciana first appeared hrefhttpszambianeyecomzambian eyeap,entertainment,"politics, education, development"
p660 view 45 year old miner mopani copper mine ha died wa hit skip south ore body shaft kitwe mopani copper mine public relation manager nebert mulenga ha told znbc news statement accident occurred yesterday mulenga said operation south 8230p pthe post hrefhttpszambianeyecomundergrounddisasterminer45diesatmopanimineafterbeinghitbyaskipunderground disaster miner 45 dy mopani mine hit skipa first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p1359 viewsafter heavy humiliating defeat august 2021 pf copperbelt province ha started mobilizing 2026 general election according statement obtained zambian eye woman met today ndola strategise pf lost election close million vote ha announced 8230p pthe post hrefhttpszambianeyecompfresurfaceincbstartsmobilizingfor2026pf resurface cb start mobilizing 2026a first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p1306 view riot broken black mountain kitwe rowdy chrome handpickers forced way pick lucrative material site apparently despite government’s decision ban chrome handpickers mine site following yesterday’s protest termed working hour previous effort 8230p pthe post hrefhttpszambianeyecomriotsbreakoutatblackmountaininkitweriots break black mountain kitwea first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, career"
p1078 view confusion ha characterised operation black mountain kitwe notorious chrome handpickers forced way pick lucrative material site znbc’s clinton masumba report despite government’s decision ban chrome handpickers mine site following yesterday’s protest termed 8230p pthe post hrefhttpszambianeyecomnotoriouschromepickersinvadeblackmountainnotorious chrome picker invade black mountaina first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p1473 view quarter final fixture see 2018 winner nkana facing lumwana radiant’s first match day green eagle yet win cup face zesco united second fixture league leader tournament favorite red arrow lock horn nkwazi sunday green buffalo 8230p pthe post hrefhttpszambianeyecomkitwetohost2022absacuptournamentquarterfinalallsetkitwe host 2022 absa cup tournament quarter final seta first appeared hrefhttpszambianeyecomzambian eyeap,sports,uncategorized
p1070 viewsthe auditor general disappointed mining company copperbelt environmentally compliant dr dick sichembe say responsibility every mine manage environmental liability mining activity operational area speaking met mopani copper mine management kitwe dr sichembe said 8230p pthe post hrefhttpszambianeyecomagaccusesminesofnotbeingenvironmentallycompliantag accuses mine environmentally complianta first appeared hrefhttpszambianeyecomzambian eyeap,business,business news
p1144 view mine mineral minister paul kabuswe ha threatened shut operation black mountain kitwe event confusion political tension it’s operation kabuswe say new dawn government want slug run smoothly without political interference adding it’s proceeds belong 8230p pthe post hrefhttpszambianeyecomminesministerthreatenstocloseblackmountainoverpoliticalinclinationsmines minister threatens close black mountain political inclinationsa first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p1492 viewsa 28 year old man kitwe seeking joined paternity claim involving mercy colham kabushi member parliament bowman lusambo allegedly father chipego first child mercy claim wa fathered mr lusambo luckson nyawali mineral analyst based kitwe say 8230p pthe post hrefhttpszambianeyecomanewtwistinbowmanmercychildclaimkitwemansaysheisthefathera new twist bowman mercy child claim kitwe man say fathera first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p2591 view 40yearold woman kitwe’s mulenga township ha allegedly murdered husband cold blood helen mwape house wife wa sunday allegedly murdered husband using pick handle copperbelt province acting copperbelt division commanding officer tresphord kasale ha told mwebantu statement incident happened 8230p pthe post hrefhttpszambianeyecomkitwemanarrestedforbeatingwifetodeathkitwe man arrested beating wife deatha first appeared hrefhttpszambianeyecomzambian eyeap,local news,local news
